,id,sigla,nome,nome_regiao
0,11,RO,Rondônia,Norte
2,12,AC,Acre,Norte
4,13,AM,Amazonas,Norte
8,14,RR,Roraima,Norte
10,15,PA,Pará,Norte
16,16,AP,Amapá,Norte
18,17,TO,Tocantins,Norte
20,21,MA,Maranhão,Nordeste
25,22,PI,Piauí,Nordeste
29,23,CE,Ceará,Nordeste
36,24,RN,Rio Grande do Norte,Nordeste
40,25,PB,Paraíba,Nordeste
44,26,PE,Pernambuco,Nordeste
49,27,AL,Alagoas,Nordeste
52,28,SE,Sergipe,Nordeste
55,29,BA,Bahia,Nordeste
62,31,MG,Minas Gerais,Sudeste
74,32,ES,Espírito Santo,Sudeste
78,33,RJ,Rio de Janeiro,Sudeste
84,35,SP,São Paulo,Sudeste
99,41,PR,Paraná,Sul
109,42,SC,Santa Catarina,Sul
115,43,RS,Rio Grande do Sul,Sul
122,50,MS,Mato Grosso do Sul,Centro-Oeste
126,51,MT,Mato Grosso,Centro-Oeste
131,52,GO,Goiás,Centro-Oeste
136,53,DF,Distrito Federal,Centro-Oeste
